State,Hospital,City,Zip Code,Designation,Organization_x,y,x
Wisconsin,Aurora BayCare Medical Center,Green Bay,54308,Comprehensive Stroke Center,DNV GL,44.4753,-87.93879
Wisconsin,Aspirus Riverview Hospital and Clinics,Wisconsin Rapids,54495,Acute Stroke Ready HospitalÂ  Â  Â  Â  Â  Â  Â ,The Joint Commission,44.38171,-89.82976
Wisconsin,Ascension NE Wisconsin,Appleton,54915,Primary Stroke Center,The Joint Commission,44.24831,-88.40269
Wisconsin,ThedaCare,Neenah,54956,Comprehensive Stroke Center,DNV GL,44.187789,-88.453643
Minnesota,Mayo Clinic Health System - Southwest Minnesota Region,Mankato,56001,Primary Stroke Center,The Joint Commission,44.163873,-93.983196
Maine,MaineHealth,Rockport,4856,Primary Stroke Center,The Joint Commission,44.14388,-69.085283
Wisconsin,Aurora Health Care North,Two Rivers,54241,Primary Stroke Center,The Joint Commission,44.12587,-87.61672
Maine,Central Maine Medical Center,Lewiston,4240,Primary Stroke Center,The Joint Commission,44.10216,-70.21447
Oregon,Sacred Heart Medical Center - RiverBend,Springfield ,97477,Primary Stroke Center,DNV GL,44.08239,-123.02748
Oregon,St. Charles Medical Center Bend,Bend,97701,Primary Stroke Center,The Joint Commission,44.067178,-121.268245
South Dakota,Rapid City Regional Hospital,Rapid City,57701,Primary Stroke Center          ,The Joint Commission,44.05836,-103.22389
Wisconsin,Aurora Medical Center Oshkosh,Oshkosh,54904,Primary Stroke Center,DNV GL,44.02712,-88.59538
Minnesota,Mayo Clinic Hospital â€” Rochester,Rochester,55902,Comprehensive Stroke Center,The Joint Commission,44.0200009,-92.483254
New York,Samaritan Medical Center,Watertown,13601,Primary Stroke Center,The Joint Commission,43.96441,-75.91304
Maine,Mid Coast Hospital,Brunswick,4011,Primary Stroke Center          ,The Joint Commission,43.90605,-69.89155
Idaho,Madison Memorial Hospital - Rexburg,Rexburg,83440,Level III,State,43.82551,-111.77071
Wisconsin,Mayo Clinic Health System - Franciscan Medical Center,La Crosse,54601,Primary Stroke Center,The Joint Commission,43.80407,-91.24031
Wisconsin,Gundersen Lutheran Medical Center,La Crosse,54601,Primary Stroke Center,The Joint Commission,43.79501,-91.24806
Wisconsin,St. Agnes Hospital,Fond Du Lac,54935,Primary Stroke Center,The Joint Commission,43.778,-88.43049
Wisconsin,Aurora Sheboygan Memorial Medical Center,Sheboygan,53083,Primary Stroke Center,DNV GL,43.77261,-87.71037
Wisconsin,St. Nicholas Hospital,Sheboygan,53081,Primary Stroke Center,The Joint Commission,43.76281,-87.74751
Idaho,Teton Valley Health Care - Driggs,Driggs,83422,Level III,State,43.727175,-111.107967
New Hampshire,Dartmouth Hitchcock Medical Center,Lebanon,3756,Primary Stroke Center,The Joint Commission,43.67762,-72.27274
Idaho,West Valley Medical Center - Caldwell,Caldwell,83605,Level III,State,43.654464,-116.694917
Maine,Maine Medical Center,Portland,4102,Comprehensive Stroke Center,The Joint Commission,43.653352,-70.276635
Idaho,Saint Alphonsus Regional Medical Center,Boise,83706,Level I,State,43.61364,-116.25616
Idaho,St. Luke's Regional Medical Center,Boise,83712,Primary Stroke Center,The Joint Commission,43.612861,-116.192844
Idaho,St. Luke's Regional Medical Ceter - Boise,Boise,82712,Level I,State,43.612338,-116.191892
Idaho,St. Luke's Meridian Medical Center - Meridian,Meridian,83642,Level II,State,43.59952,-116.35077
Michigan,McLaren Bay Region,Bay City,48708,Primary Stroke Center,The Joint Commission,43.58927,-83.86903
Idaho,Saint Alphonsus Medical Center Nampa,Nampa,83687,Level III,State,43.55364,-116.57
South Dakota,Avera McKennan,Sioux Falls,57117,Primary Stroke Center          ,The Joint Commission,43.534439,-96.715744
Idaho,Eastern Idaho Regional Medical Center,Idaho Falls,83404,Primary Stroke Center,The Joint Commission,43.46986,-111.99208
Michigan,Covenant Medical Center,Saginaw,48602,Primary Stroke Center,HFAP,43.43051,-83.95194
Michigan,Ascension St. Mary's Hospital,Saginaw,48601,Primary Stroke Center,The Joint Commission,43.42427,-83.93887
Michigan,McKenzie Health System,Sundusky,48471,Acute Stroke Ready Hospital,HFAP,43.42337,-82.83251
Wisconsin,Froedtert West Bend Hospital,West Bend,53095,Primary Stroke Center,The Joint Commission,43.355485,-88.195751
Wisconsin,Aurora Medical Center Grafton,Grafton,53024,Primary Stroke Center,The Joint Commission,43.32347,-87.92762
Wisconsin,Aurora Medical Center of Washington County,Hartford,53027,Acute Stroke Ready HospitalÂ  Â  Â  Â  Â  Â  Â ,The Joint Commission,43.31879,-88.36265
New York,Glens Falls Hospital,Glens Falls,12801,Primary Stroke Center,State,43.30619,-73.64635
Wisconsin,Columbia St. Mary's Hospital Ozaukee,Mequon,53097,Primary Stroke Center,The Joint Commission,43.25658,-87.9255
New Hampshire,Wentworth-Douglass Hospital,Dover,3820,Primary Stroke Center,The Joint Commission,43.21346,-70.87342
New Hampshire,Concord Hospital,Concord,3301,Primary Stroke Center,DNV GL,43.19655,-71.56279
New York,Rochester General Hospital,Rochester,14621,Comprehensive Stroke Center,DNV GL,43.19242,-77.58659
New York,The Unity Hospital of Rochester,Rpchester,14626,Primary Stroke Center,State,43.19113,-77.70165
Wisconsin,Community Memorial Hospital of Menomonee Falls,Menomonee Falls,53051,Primary Stroke Center,The Joint Commission,43.178475,-88.12008
New York,Mount St. Mary's Hospital,Lewiston,14092,Primary Stroke Center,State,43.15419,-79.03242
Iowa,MercyOne North Iowa Medical Center,Mason City,50401,Primary Stroke Center,The Joint Commission,43.150581,-93.215636
New York,Highland Hospital,Rochester,14620,Primary Stroke Center,State,43.13572,-77.60741
New York,University of Rochester-Strong Memorial,Rochester,14642,Comprehensive Stroke Center,The Joint Commission,43.12307,-77.62349
Wisconsin,Oconomowoc Memorial Hospital,Oconomowoc,53066,Primary Stroke Center,The Joint Commission,43.10006,-88.48673
New York,Faxton-St. Luke's Healthcare,Utica,13502,Primary Stroke Center,State,43.09811,-75.27879
New York,Niagara Falls Memorial Medical Center,Niagara Falls ,14301,Primary Stroke Center,State,43.09393,-79.04988
Wisconsin,University of Wisconsin Hospitals and Clinics Authority,Madison,53792,Comprehensive Stroke Center,The Joint Commission,43.076545,-89.43396
Wisconsin,Ascension SE Wisconsin Hospital,Milwaukee,53210,Primary Stroke Center,The Joint Commission,43.0743,-87.97602
Wisconsin,Aurora Medical Center Summit,Summit,53066,Primary Stroke Center,The Joint Commission,43.066379,-88.468255
Wisconsin,Meriter Hospital,Madison,53715,Primary Stroke Center,The Joint Commission,43.06528,-89.40327
New Hampshire,Portsmouth Regional Hospital,Portsmouth,3801,Primary Stroke Center,The Joint Commission,43.0649,-70.7895
Michigan,McLaren Lapeer Region,Lapeer,48446,Primary Stroke Center,The Joint Commission,43.06296,-83.32162
Wisconsin,Columbia St. Mary's Hospital Milwaukee,Milwaukee,53211,Primary Stroke Center,The Joint Commission,43.06075,-87.88072
New York,Newark-Wayne Community Hospital,Newark,14513,Primary Stroke Center,State,43.05977,-77.10204
Wisconsin,SSM Healthcare of Wisconsin,Madison,53715,Primary Stroke Center,The Joint Commission,43.059346,-89.402898
New York,St. Josephs Hospital Health Center,Syracuse,13203,Primary Stroke Center,State,43.05578,-76.14947
Wisconsin,Aurora Health Care Metro,Milwaukee,53233,Primary Stroke Center,The Joint Commission,43.042628,-87.928226
New York,Upstate Medical University,Syracuse,13210,Comprehensive Stroke Center,DNV GL,43.04215,-76.14025
New York,Crouse Hospital,Syracuse,13210,Comprehensive Stroke Center,DNV GL,43.04131,-76.13793
Wisconsin,Froedtert Memorial Lutheran Hospital,Milwaukee,53226,Comprehensive Stroke Center,The Joint Commission,43.040967,-88.024495
Michigan,Hurley Medical Center,Flint,48503,Primary Stroke Center,The Joint Commission,43.02139,-83.70478
Michigan,McLaren Flint,Flint,48532,Comprehensive Stroke Center,The Joint Commission,43.014264,-83.732936
Wisconsin,Waukesha Memorial Hospital,Waukesha,53188,Primary Stroke Center,The Joint Commission,43.01119,-88.24318
New York,United Memorial Medical Center North Street Campus,Batavia,14020,Primary Stroke Center,State,43.00508,-78.1766
Wisconsin,West Allis Memorial Hospital,West Allis,53227,Primary Stroke Center,The Joint Commission,43.001413,-88.02306
New York,Millard Fillmore Suburban Hospital,Williamsville,14221,Primary Stroke Center,State,42.99327,-78.73005
New Hampshire,Catholic Medical Center,Manchester,3102,Primary Stroke Center,The Joint Commission,42.99127,-71.47398
Wisconsin,Aurora St. Luke's Medical Center,Milwaukee,53201,Comprehensive Stroke Center,The Joint Commission,42.989683,-87.951206
Michigan,McLaren Port Huron,Port Huron,48060,Primary Stroke Center,The Joint Commission,42.98648,-82.42957
Wisconsin,Ascension St. Francis Hospital,Milwaukee,53215,Primary Stroke Center,The Joint Commission,42.98548,-87.93504
New York,Kenmore Mercy Hospital,Buffalo,14217,Primary Stroke Center,The Joint Commission,42.97763,-78.88045
Michigan,Spectrum Health Butterworth,Grand Rapids,49506,Comprehensive Stroke Center,The Joint Commission,42.97004,-85.66523
Michigan,Mercy Health Saint Mary's Hospital,Grand Rapids,49503,Comprehensive Stroke Center,DNV GL,42.95848,-85.66284
Michigan,Spectrum Health Blodgett,Grand Rapids,49506,Primary Stroke Center,The Joint Commission,42.95384,-85.62344
New Hampshire,Cheshire Medical Center,Keene,3431,Designated Stroke Center,State,42.94916,-72.28998
New York,Auburn Community Hospital,Auburn,13021,Primary Stroke Center,State,42.94145,-76.56451
New York,Sisters of Charity Hospital,Buffalo,14214,Primary Stroke Center,State,42.9287,-78.84793
New York,Erie County Medical Center,Buffalo,14215,Primary Stroke Center,State,42.924784,-78.831806
New York,Buffalo General Medical Center,Buffalo,14203,Primary Stroke Center,State,42.90035,-78.86589
Michigan,Ascension Genesys Hospital,Grand Blanc,48439,Primary Stroke Center,The Joint Commission,42.89264,-83.64143
New Hampshire,Parkland Medical Center,Derry ,3038,Primary Stroke Center,The Joint Commission,42.8772,-71.31647
New York,Geneva General Hospital,Geneva,14456,Primary Stroke Center,The Joint Commission,42.87626,-76.98769
New York,F F Thompson Hospital,Canadaigua,14424,Primary Stroke Center,State,42.876149,-77.289731
Michigan,Metro Health University of Michigan Health,Wyoming,49519,Comprehensive Stroke Center,HFAP,42.8575,-85.71897
Wyoming,Wyoming Medical Center,Casper,82601,Primary Stroke Center,The Joint Commission,42.84802,-106.30907
New York,Mercy Hospital Of Buffalo,Buffalo,14220,Primary Stroke Center,The Joint Commission,42.84733,-78.81271
New York,Ellis Hospital,Schenectady,12308,Primary Stroke Center,State,42.81989,-73.91634
Massachusetts,Anna Jaques Hospital,Newburyport,1950,Primary Stroke Service,State,42.81389,-70.89126
Michigan,Holland Hospital,Holland,49423,Primary Stroke Center,DNV GL,42.77478,-86.11404
